# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1
32 32 1 0  0 1
32 32 2 0  0 1
32 32 3 0  0 1
32 32 4 0  0 1
32 32 5 0  0 1
32 32 6 0  0 1
32 32 7 0  0 1
32 32 8 0  0 1
32 32 9 0  0 1
32 32 10 0  0 1
32 32 20 0  0 1
32 32 30 0  0 1
32 32 40 0  1 1
32 32 50 0  1 1
32 32 60 0  1 1
32 32 70 0  1 1
32 32 80 0  1 1
32 32 90 0  2 1
32 32 100 0  1 1
32 32 200 0  2 1856
32 32 300 0  2 1856
32 32 400 0  3 1856
32 32 500 0  4 1856
32 32 600 0  5 1856
32 32 700 0  5 2496
32 32 800 0 14 2496
32 32 900 0  7 2496
32 32 1000 0  7 2496
32 32 1500 0 11 2496
32 32 2000 0 15 2496
32 32 2500 0 18 2496
32 32 3000 0 22 2496
32 32 3500 0 26 2496
32 32 4000 0 78 2496
32 32 4500 0 33 3456
32 32 5000 0 37 6720
32 32 5500 0 40 6720
32 32 6000 0 44 6720
32 32 6500 0 48 6720
32 32 7000 0 51 6720
32 32 7500 0 55 6720
32 32 8000 0 59 6720
32 32 8500 0 63 6720
32 32 9000 0 66 6656
32 32 9500 0 70 10944
32 32 10000 0 74 10944
32 32 15000 0 112 15168
32 32 20000 0 150 19392
32 32 25000 0 188 23616
32 32 30000 0 227 27840
32 32 35000 0 265 36288
32 32 40000 0 303 40512
32 32 45000 0 341 44672
32 32 50000 0 380 48960
32 32 55000 0 421 53184
32 32 60000 0 458 61632
32 32 65000 0 498 65856
32 32 70000 0 542 70080
32 32 75000 0 582 74304
32 32 80000 0 623 78528
32 32 85000 0 661 82752
32 32 90000 0 700 91200
32 32 95000 0 743 95424
32 32 100000 0 781 99648
32 32 100000 0 779 99648
32 32 150000 0 1181 151872
32 32 200000 0 1578 201984
32 32 250000 0 1987 251904
32 32 300000 0 2399 301888
32 32 350000 0 2805 351872
32 32 400000 0 3220 401920
32 32 450000 0 3625 451968
32 32 500000 0 4029 501888
32 32 550000 0 4440 551872
32 32 600000 0 4846 601920
32 32 650000 0 5270 651904
32 32 700000 0 5658 701888
32 32 750000 0 6078 751872
32 32 800000 0 6491 801984
32 32 850000 0 6896 851904
32 32 900000 0 7327 901888
32 32 950000 0 7718 951872
32 32 1000000 0 8137 1001920
